feature_name,r_conflict_disagreement,r_var_disagreement,r_range_disagreement,r_conflict_variability,r_conflict_range,r_var_range
AGEP,0.1644,-0.0169,-0.1559,0.7445,0.1967,0.652
COW,0.1201,0.1505,0.4002,0.2881,0.0557,0.7954
SCHL,0.3603,0.2627,0.04,0.8125,0.2268,0.6193
MAR,0.3976,0.4256,0.5899,0.57,0.4073,0.7267
OCCP,0.1425,0.0619,-0.026,0.7449,0.2194,0.5321
POBP,0.0835,0.0932,0.2771,0.0937,0.1139,0.8558
RELP,0.0708,0.003,0.0008,0.3478,0.1304,0.8437
WKHP,0.5596,-0.2211,-0.3941,0.5238,0.1704,0.7916
SEX,0.2234,0.2952,0.5996,0.7476,0.2349,0.6175
RAC1P,0.2246,-0.0399,0.1587,0.2531,0.1681,0.8112
